empresa_id,region,sector,actividad_ciiu,tamano,anio_ruc,personal_ocupado,remuneraciones,produccion_total,ventas_bienes_producidos,ventas_mercaderias,ventas_servicios,materia_prima,suministros_repuestos,total_insumos,consumo_intermedio,valor_agregado,gastos_operacionales,total_gastos_operacionales,gastos_financieros,arrendamientos,depreciaciones,formacion_capital_fijo,agua_m3,factor_expansion
EMP-1814,Sierra,Servicios,Transporte y almacenamiento,Grande Empresa,2006,65,1023563,6772508,0,0.0,6772508.0,0,7838.0,7838.0,4766987,2005521,4596287,4759149,0,0.0,156244,977369.0,1879.0,1.0
EMP-1815,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,1992,18,229755,643815,0,7948357.0,0.0,0,4217.0,4217.0,198014,445801,56550,193797,0,0.0,49624,199465.0,1644.0,1.0
EMP-1816,Costa,Servicios,Actividades inmobiliarias,Grande Empresa,1995,0,0,10866495,0,0.0,10840045.0,0,106.0,106.0,1552343,9314152,224899,1552237,130,0.0,1250224,1588040.0,0.0,1.0
EMP-1817,Sierra,Servicios,Información y comunicación,Grande Empresa,1996,202,5223285,11413114,0,0.0,11366991.0,0,1590788.0,1590788.0,5580404,5832710,411976,3989616,16866,53470.0,234908,26343.0,2150.0,1.0
EMP-1818,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,1997,10,148170,321044,0,5000104.0,0.0,0,14521.0,14521.0,162429,158615,120878,147908,0,0.0,0,0.0,298.0,1.0
EMP-1819,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2003,35,497009,2845248,0,26989769.0,0.0,0,6560.0,6560.0,1583278,1261970,1411595,1576718,0,6000.0,290940,631813.0,224.0,1.0
EMP-1820,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2006,51,744248,3485620,0,5564924.0,887220.0,0,473772.0,473772.0,2079016,1406604,907175,1605244,11067,13710.0,124047,179910.0,5880.0,1.0
EMP-1821,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2006,38,1057394,6001353,0,0.0,6001353.0,0,169943.0,169943.0,5352432,648921,4883342,5182489,10896,0.0,130254,190172.0,0.0,1.0
EMP-1822,Sierra,Construcción,Construcción,Mediana Empresa B,2006,131,937289,2167344,0,1313315.0,1403929.0,0,72808.0,72808.0,805077,1362267,462608,732269,2824,6062.0,94001,0.0,500.0,1.0
EMP-1823,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Mediana Empresa B,2011,42,509387,2043965,0,4065515.0,70650.0,0,1827.0,1827.0,603270,1440695,428688,601443,99033,0.0,532702,0.0,28410.0,1.0
EMP-1824,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2008,159,1965829,1947414,0,19019603.0,0.0,0,71513.0,71513.0,1316387,631027,718611,1244874,117722,592046.0,114024,0.0,998.0,1.0
EMP-1825,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,1983,12,207774,1019141,0,16722422.0,0.0,0,30199.0,30199.0,336937,682204,160570,306738,0,0.0,26610,27956.0,2585.0,1.0
EMP-1826,Costa,Servicios,"Distribución de agua; alcantarillado, gestión de desechos y actividades de saneamiento",Mediana Empresa A,1998,51,669559,1788087,0,0.0,1702610.0,0,49893.0,49893.0,826950,961137,290389,777057,0,96000.0,211936,478996.0,1072.0,2.018760196
EMP-1827,Costa,Construcción,Construcción,Grande Empresa,2004,95,1145054,11131228,0,0.0,11106026.0,0,1344816.0,1344816.0,9288557,1842671,220422,7943741,1667,0.0,201252,55817.0,4570.0,1.0
EMP-1828,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2010,59,1191976,3175182,0,6735171.0,0.0,0,18765.0,18765.0,1453233,1721949,754301,1434468,7202,57243.0,69249,0.0,618.0,1.0
EMP-1829,Costa,Servicios,"Distribución de agua; alcantarillado, gestión de desechos y actividades de saneamiento",Mediana Empresa A,2010,54,205580,1097109,0,0.0,1097109.0,0,2473.0,2473.0,857258,239851,53995,854785,0,1139.0,64935,9757.0,0.0,2.018760196
EMP-1830,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2003,53,818597,1540446,0,12857682.0,0.0,0,16659.0,16659.0,522914,1017532,359430,506255,1873,0.0,14709,217218.0,890.0,1.0
EMP-1831,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2008,71,1227801,2378862,0,14857938.0,92779.0,0,14662.0,14662.0,1838311,540551,867078,1823649,51742,8765.0,19632,-370897.0,0.0,1.0
EMP-1832,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2011,81,768409,3758289,0,13480276.0,0.0,0,16395.0,16395.0,2904626,853663,2682570,2888231,3329,0.0,202718,438010.0,1973.0,1.0
EMP-1833,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,1993,28,290694,750807,0,7392932.0,0.0,0,2414.0,2414.0,435150,315657,317210,432736,15616,0.0,14315,2134.0,1882.0,1.0
EMP-1834,Costa,Minería,Explotación de minas y canteras,Mediana Empresa B,2000,47,339400,4139185,4047077,0.0,5954.0,0,2996197.0,2996197.0,3624738,514447,220835,628541,0,0.0,66950,789159.0,0.0,1.921787709
EMP-1835,Costa,Manufactura,Industrias manufactureras,Grande Empresa,2005,30,508580,8407149,9726638,0.0,0.0,3823137,3369562.0,7192699.0,7674639,732510,340153,481940,2929,0.0,3897,0.0,0.0,1.0
EMP-1836,Costa,Construcción,Construcción,Mediana Empresa A,2008,36,297278,1299341,0,0.0,1284933.0,0,358194.0,358194.0,896657,402684,151833,538463,2401,20229.0,46109,63780.0,473.0,33.94777555
EMP-1837,Amazonía,Servicios,Transporte y almacenamiento,Grande Empresa,2010,265,4117807,18048702,0,0.0,18045526.0,0,3552358.0,3552358.0,10776574,7272128,5789325,7224216,13646,39314.0,626141,858896.0,0.0,1.0
EMP-1838,Sierra,Manufactura,Industrias manufactureras,Grande Empresa,1991,120,3218970,29309275,29539251,0.0,0.0,15056867,2646953.0,17703820.0,22719451,6589824,3203511,5015631,14831,91962.0,295296,357126.0,7919.0,1.0
EMP-1839,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,1995,24,702365,3881800,0,5066830.0,0.0,0,9044.0,9044.0,2591375,1290425,2373889,2582331,3354,143759.0,2756,-19921.0,2142.0,1.0
